Laporan Penggunaan Keseluruhan Iklan Pencarian - Shopee Indonesia
Username:,keauty_id
Waktu Laporan Dibuat:,19/05/2023 14:05
Periode:,01/01/2023 - 31/01/2023
ID Toko:,556577580

Urutan,Nama Iklan,Status,Kode Produk,Jenis Iklan,Kata Pencarian/Penempatan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
1,KEAUTY Paket 1 Bulan (30 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,15494328680,Iklan Produk Serupa,Semua,12/12/2022 00:00,Tidak Terbatas,358680,8787,2.45%,139,102,1.58%,1.16%,9459,12891,160,109,17704000,14688000,1314864,13.46,11.17,7.43%,8.95%,N/A,N/A,N/A
2,KEAUTY Paket Mingguan (10 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Selesai,19757646181,Iklan Produk Serupa,Semua,12/12/2022 00:00,20/04/2023 16:16,45343,1135,2.50%,33,21,2.91%,1.85%,11013,17305,41,27,2745000,1215000,363413,7.55,3.34,13.24%,29.91%,N/A,N/A,N/A
3,KEAUTY Paket Mingguan (20 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,11170012291,Iklan Produk Serupa,Semua,09/05/2023 23:00,Tidak Terbatas,38044,859,2.26%,20,15,2.33%,1.75%,6406,8541,20,15,1710500,1332000,128121,13.35,10.4,7.49%,9.62%,N/A,N/A,N/A
4,KEAUTY Paket 1 Bulan (30 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,15494328680,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,34628,2618,7.56%,103,66,3.93%,2.52%,7979,12452,109,68,11148500,9153000,821842,13.57,11.14,7.37%,8.98%,N/A,N/A,N/A
5,KEAUTY Paket 1 (5 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,11998203921,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,16442,1222,7.43%,38,22,3.11%,1.80%,10759,18583,43,25,2123000,552000,408833,5.19,1.35,19.26%,74.06%,N/A,N/A,N/A
6,KEAUTY Paket Mingguan (10 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Selesai,19757646181,Iklan Pencarian Produk,Semua,11/12/2022 23:00,20/04/2023 16:16,7745,441,5.69%,7,3,1.59%,0.68%,17769,41461,8,4,517500,180000,124383,4.16,1.45,24.04%,69.10%,N/A,N/A,N/A
7,KEAUTY Paket Mingguan (20 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,11170012291,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,19,1,5.26%,0,0,0.00%,0.00%,0,0,0,0,0,0,464,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
8,KEAUTY Paket 1 (5 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Nonaktif,11998203921,Iklan Produk Serupa,Semua,12/12/2022 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
