Laporan Penggunaan Keseluruhan Iklan Pencarian - Shopee Indonesia
Username:,keauty_id
Waktu Laporan Dibuat:,14/05/2023 19:14
Periode:,12/05/2023 - 12/05/2023
ID Toko:,556577580

Urutan,Nama Iklan,Status,Kode Produk,Jenis Iklan,Kata Pencarian/Penempatan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
1,KEAUTY Paket 1 (5 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Nonaktif,11998203921,Iklan Produk Serupa,Semua,12/12/2022 00:00,Tidak Terbatas,13304,258,1.94%,1,1,0.39%,0.39%,50000,50000,2,2,45000,45000,50000,0.9,0.9,111.11%,111.11%,N/A,N/A,N/A
2,KEAUTY Paket Mingguan (20 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,11170012291,Iklan Produk Serupa,Semua,09/05/2023 23:00,Tidak Terbatas,7141,100,1.40%,0,0,0.00%,0.00%,0,0,0,0,0,0,21277,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
3,KEAUTY Paket 1 (5 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,11998203921,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,2156,199,9.23%,8,4,4.02%,2.01%,4994,9987,9,5,292500,112500,39949,7.32,2.82,13.66%,35.51%,N/A,N/A,N/A
4,KEAUTY Paket 1 Bulan (30 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,15494328680,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,1852,146,7.88%,5,5,3.42%,3.42%,8159,8159,5,5,675000,675000,40793,16.55,16.55,6.04%,6.04%,N/A,N/A,N/A
5,KEAUTY Paket Mingguan (20 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,11170012291,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,451,13,2.88%,0,0,0.00%,0.00%,0,0,0,0,0,0,3775,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
6,KEAUTY Paket 1 Bulan (30 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Berjalan,15494328680,Iklan Produk Serupa,Semua,12/12/2022 00:00,Tidak Terbatas,421,15,3.56%,0,0,0.00%,0.00%,0,0,0,0,0,0,3300,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
7,KEAUTY Paket Mingguan (10 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Selesai,19757646181,Iklan Produk Serupa,Semua,12/12/2022 00:00,20/04/2023 16:16,2,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
8,KEAUTY Paket Mingguan (10 Sachet) | Minuman Kolagen | Collagen Beauty Drink,Selesai,19757646181,Iklan Pencarian Produk,Semua,11/12/2022 23:00,20/04/2023 16:16,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
