Laporan Penggunaan Keseluruhan Iklan Pencarian - Shopee Indonesia
Username:,newlab.id
Waktu Laporan Dibuat:,19/05/2023 08:42
Periode:,01/12/2022 - 31/12/2022
ID Toko:,3714573

Urutan,Nama Iklan,Status,Kode Produk,Jenis Iklan,Kata Pencarian/Penempatan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
32,Paket Bundling 1 | Slimming Package NEWLAB | Fiber DrinkNEWLAB | Fiber Rasa Coklat | SlimFazz Tea Drink | Teh Diet Detoks | Suplemen Pelangsing Herbal,Berjalan,20258891705,Iklan Pencarian Produk,Semua,10/12/2022 00:00,Tidak Terbatas,14792,590,3.99%,86,27,14.58%,4.58%,11376,36235,99,29,15782000,6291000,978334,16.13,6.43,6.20%,15.55%,N/A,N/A,N/A
33,PRO TEETH WHITENING KIT Alat Pemutih Gigi Permanen |  NEWLAB Memutihkan Gigi Super Cepat,Selesai,7315786944,Iklan Produk Serupa,Semua,01/04/2021 23:00,02/12/2022 14:21,12031,282,2.34%,13,5,4.61%,1.77%,30769,80000,13,5,1597000,735000,400000,3.99,1.84,25.05%,54.42%,N/A,N/A,N/A
34,Paket Bundling 2 | Intensive Bright Package NEWLAB | Mini Collagen Beauty Drink | Minuman Kolagen Mini | Brightening Body Lotion AHA | Lotion Serum AHA | Lotion Pemutih Badan,Berjalan,20360946933,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,11614,456,3.93%,39,13,8.55%,2.85%,12457,37370,41,13,6281000,1897000,485814,12.93,3.9,7.73%,25.61%,N/A,N/A,N/A
35,Body Lotion,Nonaktif,N/A,Iklan Pencarian Toko,Semua,07/06/2022 23:00,Tidak Terbatas,10229,313,3.06%,23,14,7.35%,4.47%,9024,14825,23,14,2238000,1584000,207554,10.78,7.63,9.27%,13.10%,34413,242,0.70%
36,Minty Charcoal Powder for Teeth Detoxification | NEWLAB Arang Aktif Detoks Karang & Pemutih Gigi | 30 gr,Berjalan,5017279672,Iklan Pencarian Produk,Semua,01/04/2021 23:00,Tidak Terbatas,7742,388,5.01%,39,35,10.05%,9.02%,2196,2447,43,39,1784996,1403996,85646,20.84,16.39,4.80%,6.10%,N/A,N/A,N/A
37,LIP SERUM,Nonaktif,N/A,Iklan Pencarian Toko,Semua,05/05/2022 23:00,Tidak Terbatas,5269,396,7.52%,69,50,17.42%,12.63%,2818,3888,72,53,7503000,5698000,194425,38.59,29.31,2.59%,3.41%,22826,544,2.38%
38,EYELASH,Nonaktif,N/A,Iklan Pencarian Toko,Semua,01/06/2021 23:00,Tidak Terbatas,5163,96,1.86%,1,1,1.04%,1.04%,37966,37966,1,1,69000,69000,37966,1.82,1.82,55.02%,55.02%,16295,49,0.30%
39,PAKET HEMAT 2 | Newlab Professional Teeth Whitening Pen | Professional Pen Pemutih Gigi,Nonaktif,7880481064,Iklan Produk Serupa,Semua,12/12/2022 00:00,Tidak Terbatas,4906,70,1.43%,7,2,10.00%,2.86%,6400,22401,7,2,705000,178000,44802,15.74,3.97,6.35%,25.17%,N/A,N/A,N/A
40,Newlab Intensive Brightening Body Scrub + AHA | Pemutih Kulit Instan Cepat,Selesai,11668325587,Iklan Produk Serupa,Semua,10/08/2022 00:00,Tidak Terbatas,4841,52,1.07%,3,0,5.77%,0.00%,9526,0,3,0,289000,0,28577,10.11,0.0,9.89%,0.00%,N/A,N/A,N/A
41,PAKET HEMAT 2 | Serum Bulu Mata Bpom | NEWLAB Penumbuh Alis & Bulu Mata Cepat & Instant | Eyelash Extension & Brow Serum | Non Oil Serum Water based Serum,Nonaktif,10149733337,Iklan Produk Serupa,Semua,19/10/2021 23:00,Tidak Terbatas,4791,67,1.40%,1,1,1.49%,1.49%,52510,52510,1,1,129000,129000,52510,2.46,2.46,40.71%,40.71%,N/A,N/A,N/A
