Laporan Penggunaan Keseluruhan Iklan Pencarian - Shopee Indonesia
Username:,newlab.id
Waktu Laporan Dibuat:,19/05/2023 08:42
Periode:,01/12/2022 - 31/12/2022
ID Toko:,3714573

Urutan,Nama Iklan,Status,Kode Produk,Jenis Iklan,Kata Pencarian/Penempatan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
68,Paket Insentive Bright Care 1 | Brightlogy Collagen Powder Drink Mini dan Body Wash + AHA,Berjalan,22536841519,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
69,NEWLAB Professional Teeth Whitening Pen BPOM | Professional Pen Pemutih Gigi,Berjalan,2243277078,Iklan Pencarian Produk,Semua,01/04/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
70,[SPECIAL THR] Acnalogy Powder Drink | Obat Minum Jerawat | Minuman Antioksidan,Selesai,23436622751,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
71,[SPECIAL THR] Acnalogy Powder Drink | Obat Minum Jerawat | Minuman Antioksidan,Selesai,23436622751,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
72,[SPECIAL THR] TEH DIET DETOKS | Beaudelab SlimFazz Tea Drink | Suplemen pelangsing herbal | Makanan diet,Selesai,19177793247,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
73,[SPECIAL THR] TEH DIET DETOKS | Beaudelab SlimFazz Tea Drink | Suplemen pelangsing herbal | Makanan diet,Selesai,19177793247,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
74,[SPECIAL THR] Brightlogy Collagen Powder Drink | Minuman Kolagen Pemutih Badan Cepat | Beaudelab Premium Collagen Drink,Selesai,16094000261,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
75,[SPECIAL THR] Brightlogy Collagen Powder Drink | Minuman Kolagen Pemutih Badan Cepat | Beaudelab Premium Collagen Drink,Selesai,16094000261,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
76,Eyelash Serum,Nonaktif,N/A,Iklan Pencarian Toko,Semua,08/07/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,0,0,0.00%
77,[Gift-Not For Sale] Body Scrub,Selesai,22908039340,Iklan Pencarian Produk,Semua,10/12/2022 00:00,10/12/2022 13:18,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
78,NEWLAB Intensive Brightening Body Wash + AHA | Sabun Pemutih Kulit dengan Parfum,Berjalan,18773652241,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
79,Brightlogy Intensive Brightening Body Wash + AHA | Sabun Pencerah Kulit dengan Parfum,Selesai,23929091305,Iklan Pencarian Produk,Semua,09/03/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
80,Brightlogy Intensive Brightening Body Wash + AHA | Sabun Pencerah Kulit dengan Parfum,Selesai,23929091305,Iklan Produk Serupa,Semua,10/03/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
81,Serum Bulu Mata BPOM | Beaudelab Penumbuh Alis & Bulu Mata Cepat Instant | Eyelash Extension & Brow Growth Serum | Non Oil Eyelash Serum Water based Serum,Selesai,20821529365,Iklan Pencarian Produk,Semua,08/07/2022 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
82,FOR MEN Teeth Whitening Kit BPOM | Pemutih Gigi Permanen | Alat Pemutih Gigi Cepat Dengan Lampu LED,Selesai,3880578742,Iklan Produk Serupa,Semua,25/03/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
83,2857940640,Selesai,2857940640,Iklan Pencarian Produk,Semua,15/01/2020 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
84,Serum Bulu Mata BPOM | Beaudelab Penumbuh Alis & Bulu Mata Cepat Instant | Eyelash Extension & Brow Growth Serum | Non Oil Eyelash Serum Water based Serum,Selesai,20821529365,Iklan Produk Serupa,Semua,09/07/2022 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
85,Beaudelab 3 In 1 Minty Mugwort Mask | Masker Mugwort Wajah,Selesai,7087452523,Iklan Pencarian Produk,Semua,26/08/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
86,Beaudelab 3 In 1 Minty Mugwort Mask | Masker Mugwort Wajah,Selesai,7087452523,Iklan Produk Serupa,Semua,26/08/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
